HouseholdIncome,HouseholdSize,Occupation,DistanceFromUrbanArea,IdentityGroup
22579,4,Doctor,19.251896986726727,4
81382,3,Lawyer,44.041303782971,1
57805,2,Engineer,19.56764162023103,1
30165,5,Engineer,71.80557556722351,2
12775,5,Teacher,52.77763254299901,3
94523,5,Engineer,32.73596747069257,1
40752,1,Teacher,1.3068545673542946,3
99099,1,Engineer,60.132991012888,3
89464,3,Doctor,65.25875513588095,10
81892,1,Lawyer,1.5137730983880555,7
43930,4,Lawyer,97.0519585854648,8
56774,4,Engineer,66.72274072074005,9
38651,5,Doctor,30.02129584814994,10
72885,2,Teacher,20.83606787217821,9
25997,5,Lawyer,92.64451301930612,3
75180,4,Lawyer,31.615877675168242,5
84498,4,Engineer,40.918585271507474,8
